DEPTH,GR,LLD,RHOB,NPHI,Formation,CORR GR,CORR LLD,CORR RHOB,CORR NPHI
4682.6,46.22,1.2714931021856564,2.592,0.091,Hugin Fm. VOLVE Top,46.22,1.2714931021856564,2.592,
4682.7,48.485,1.0536161744043904,2.561,0.1,Hugin Fm. VOLVE Top,48.485,1.0536161744043904,2.561,0.1
4682.8,50.522,0.9498289589353137,2.532,0.112,Hugin Fm. VOLVE Top,50.522,0.9498289589353137,2.532,0.112
4682.9,52.595,0.8592584174673069,2.508,0.118,Hugin Fm. VOLVE Top,52.595,0.8592584174673069,2.508,0.118
4683.0,53.431,0.7545012293869171,2.493,0.125,Hugin Fm. VOLVE Top,,,2.493,0.125
4683.1,54.559,0.5487578285737043,2.483,0.131,Hugin Fm. VOLVE Top,54.559,0.5487578285737043,,0.131
4683.2,56.948,0.4895366294820954,2.48,0.132,Hugin Fm. VOLVE Top,56.948,0.4895366294820954,2.48,0.132
4683.3,57.973,0.5599066250361125,2.484,0.127,Hugin Fm. VOLVE Top,,0.5599066250361125,2.484,0.127
4683.4,54.524,0.6468936241677452,2.495,0.117,Hugin Fm. VOLVE Top,54.524,0.6468936241677452,2.495,0.117
4683.5,50.771,0.8267225201689921,2.516,0.101,Hugin Fm. VOLVE Top,50.771,0.8267225201689921,2.516,0.101
4683.6,47.929,0.9682493941079173,2.545,0.09,Hugin Fm. VOLVE Top,47.929,,2.545,0.09
4683.7,44.337,1.0911391538257549,2.582,0.078,Hugin Fm. VOLVE Top,44.337,1.0911391538257549,2.582,0.078
4683.8,41.66,1.1417945635236573,2.62,0.071,Hugin Fm. VOLVE Top,41.66,,2.62,0.071
4683.9,38.701,1.1530217436261385,2.651,0.064,Hugin Fm. VOLVE Top,,1.1530217436261385,,0.064
4684.0,37.769,1.1576984792755163,2.672,0.063,Hugin Fm. VOLVE Top,,1.1576984792755163,,0.063
4684.1,36.516,1.1602283571978587,2.683,0.06,Hugin Fm. VOLVE Top,36.516,1.1602283571978587,2.683,0.06
4684.2,34.838,1.17507672117621,2.688,0.056,Hugin Fm. VOLVE Top,,1.17507672117621,2.688,0.056
4684.3,34.096,1.1873232693750473,2.685,0.056,Hugin Fm. VOLVE Top,34.096,,,0.056
4684.4,33.545,1.1722233414277532,2.68,0.057,Hugin Fm. VOLVE Top,33.545,1.1722233414277532,,0.057
4684.5,35.447,1.1653333725969832,2.675,0.058,Hugin Fm. VOLVE Top,35.447,1.1653333725969832,,0.058
4684.6,36.904,1.129689892199301,2.675,0.057,Hugin Fm. VOLVE Top,36.904,1.129689892199301,,0.057
4684.7,36.503,1.0543832083054772,2.677,0.059,Hugin Fm. VOLVE Top,36.503,1.0543832083054772,,0.059
4684.8,36.69,1.0037189638231145,2.68,0.058,Hugin Fm. VOLVE Top,36.69,1.0037189638231145,,0.058
4684.9,37.474,0.9576551669434912,2.681,0.06,Hugin Fm. VOLVE Top,37.474,0.9576551669434912,2.681,0.06
4685.0,38.481,0.8955330394840704,2.678,0.059,Hugin Fm. VOLVE Top,38.481,0.8955330394840704,,0.059
4685.1,37.123,0.8424844244115701,2.674,0.065,Hugin Fm. VOLVE Top,37.123,0.8424844244115701,2.674,
4685.2,33.541,0.7507397512353507,2.666,0.073,Hugin Fm. VOLVE Top,33.541,0.7507397512353507,2.666,0.073
4685.3,32.082,0.6607706435276973,2.649,0.084,Hugin Fm. VOLVE Top,32.082,0.6607706435276973,2.649,0.084
4685.4,32.47,0.5877109650189114,2.618,0.102,Hugin Fm. VOLVE Top,32.47,0.5877109650189114,2.618,0.102
4685.5,31.697,0.5689054149828787,2.579,0.118,Hugin Fm. VOLVE Top,,0.5689054149828787,2.579,0.118
4685.6,31.578,0.5677319625480691,2.542,0.134,Hugin Fm. VOLVE Top,31.578,0.5677319625480691,2.542,0.134
4685.7,31.801,0.5625307688622614,2.517,0.138,Hugin Fm. VOLVE Top,31.801,0.5625307688622614,2.517,0.138
4685.8,32.683,0.5612206789339438,2.507,0.139,Hugin Fm. VOLVE Top,32.683,0.5612206789339438,2.507,0.139
4685.9,32.165,0.5667909123815917,2.509,0.137,Hugin Fm. VOLVE Top,32.165,0.5667909123815917,,0.137
4686.0,31.804,0.5778363412927441,2.517,0.135,Hugin Fm. VOLVE Top,31.804,0.5778363412927441,2.517,0.135
4686.1,32.268,0.5825178836040624,2.524,0.134,Hugin Fm. VOLVE Top,32.268,0.5825178836040624,2.524,0.134
4686.2,31.984,0.6009728956867483,2.527,0.134,Hugin Fm. VOLVE Top,,0.6009728956867483,2.527,0.134
4686.3,31.669,0.6166855208955121,2.524,0.136,Hugin Fm. VOLVE Top,31.669,0.6166855208955121,2.524,0.136
4686.4,29.649,0.6387886671573982,2.519,0.133,Hugin Fm. VOLVE Top,29.649,0.6387886671573982,2.519,0.133
4686.5,28.485,0.6893976628212823,2.514,0.135,Hugin Fm. VOLVE Top,,0.6893976628212823,2.514,0.135
4686.6,27.894,0.7410727723733214,2.509,0.136,Hugin Fm. VOLVE Top,,0.7410727723733214,,0.136
4686.7,27.76,0.8108371511404884,2.497,0.14,Hugin Fm. VOLVE Top,27.76,,2.497,0.14
4686.8,27.861,0.8803561994192363,2.479,0.139,Hugin Fm. VOLVE Top,27.861,0.8803561994192363,2.479,0.139
4686.9,28.32,0.9622746046233147,2.47,0.14,Hugin Fm. VOLVE Top,28.32,0.9622746046233147,,0.14
4687.0,26.856,1.0374264979406236,2.462,0.141,Hugin Fm. VOLVE Top,26.856,1.0374264979406236,,0.141
4687.1,27.365,1.1203106426364624,2.451,0.147,Hugin Fm. VOLVE Top,27.365,1.1203106426364624,,0.147
4687.2,26.247,1.1852871125752025,2.434,0.152,Hugin Fm. VOLVE Top,,,2.434,0.152
4687.3,26.109,1.2016155823139427,2.414,0.159,Hugin Fm. VOLVE Top,26.109,1.2016155823139427,2.414,0.159
4687.4,26.467,1.1829279692369925,2.396,0.164,Hugin Fm. VOLVE Top,26.467,1.1829279692369925,2.396,0.164
4687.5,26.205,1.1571544399062814,2.383,0.167,Hugin Fm. VOLVE Top,26.205,1.1571544399062814,,0.167
4687.6,27.476,1.212986184736668,2.373,0.167,Hugin Fm. VOLVE Top,27.476,1.212986184736668,2.373,0.167
4687.7,29.521,1.3093746249166704,2.365,0.161,Hugin Fm. VOLVE Top,29.521,1.3093746249166704,2.365,0.161
4687.8,29.016,1.3646447853299122,2.365,0.158,Hugin Fm. VOLVE Top,29.016,1.3646447853299122,2.365,0.158
4687.9,29.035,1.338536173355659,2.383,0.153,Hugin Fm. VOLVE Top,29.035,1.338536173355659,,0.153
4688.0,30.689,1.3172901039604183,2.426,0.141,Hugin Fm. VOLVE Top,30.689,1.3172901039604183,2.426,0.141
4688.1,30.459,1.3383170188540967,2.493,0.13,Hugin Fm. VOLVE Top,30.459,1.3383170188540967,2.493,0.13
4688.2,33.443,1.3092041796704075,2.569,0.112,Hugin Fm. VOLVE Top,33.443,1.3092041796704075,2.569,0.112
4688.3,34.892,1.3032176635736687,2.634,0.09,Hugin Fm. VOLVE Top,34.892,1.3032176635736687,2.634,0.09
4688.4,35.106,1.3386556655787003,2.672,0.071,Hugin Fm. VOLVE Top,35.106,1.3386556655787003,,0.071
4688.5,35.573,1.3467831432581225,2.686,0.054,Hugin Fm. VOLVE Top,35.573,1.3467831432581225,,0.054
4688.6,34.702,1.332660600270635,2.688,0.045,Hugin Fm. VOLVE Top,34.702,1.332660600270635,2.688,
4688.7,34.686,1.323252100171687,2.687,0.038,Hugin Fm. VOLVE Top,34.686,,,0.038
4688.8,34.911,1.3482659111236623,2.685,0.034,Hugin Fm. VOLVE Top,34.911,1.3482659111236623,,
4688.9,35.909,1.3410980386240492,2.676,0.032,Hugin Fm. VOLVE Top,35.909,1.3410980386240492,2.676,
4689.0,35.763,1.3625201722887965,2.663,0.03,Hugin Fm. VOLVE Top,35.763,1.3625201722887965,2.663,
4689.1,35.489,1.3744550524099626,2.652,0.03,Hugin Fm. VOLVE Top,35.489,1.3744550524099626,,
4689.2,34.171,1.3730408000296783,2.652,0.031,Hugin Fm. VOLVE Top,34.171,1.3730408000296783,,
4689.3,33.252,1.3754441255051169,2.663,0.034,Hugin Fm. VOLVE Top,33.252,1.3754441255051169,2.663,
4689.4,32.414,1.3778888057925747,2.675,0.032,Hugin Fm. VOLVE Top,,1.3778888057925747,,
4689.5,31.609,1.4019000367605854,2.679,0.03,Hugin Fm. VOLVE Top,31.609,1.4019000367605854,,
4689.6,31.072,1.459709045421325,2.671,0.033,Hugin Fm. VOLVE Top,31.072,,,
4689.7,30.815,1.5407798061103448,2.655,0.04,Hugin Fm. VOLVE Top,30.815,1.5407798061103448,2.655,
4689.8,30.436,1.550729643175869,2.642,0.049,Hugin Fm. VOLVE Top,30.436,1.550729643175869,2.642,0.049
4689.9,29.947,1.5419908797794688,2.636,0.058,Hugin Fm. VOLVE Top,29.947,1.5419908797794688,2.636,0.058
4690.0,29.809,1.5223007491667326,2.632,0.062,Hugin Fm. VOLVE Top,,1.5223007491667326,2.632,0.062
4690.1,30.149,1.5520108027603305,2.628,0.064,Hugin Fm. VOLVE Top,30.149,,2.628,0.064
4690.2,30.763,1.5673675475545266,2.625,0.06,Hugin Fm. VOLVE Top,30.763,1.5673675475545266,2.625,0.06
4690.3,29.749,1.5289423974157292,2.624,0.056,Hugin Fm. VOLVE Top,29.749,1.5289423974157292,,0.056
4690.4,29.792,1.4602963267574753,2.625,0.054,Hugin Fm. VOLVE Top,,,2.625,0.054
4690.5,30.032,1.3532620859163156,2.628,0.05,Hugin Fm. VOLVE Top,30.032,,2.628,
4690.6,30.89,1.2596177668143342,2.634,0.048,Hugin Fm. VOLVE Top,30.89,1.2596177668143342,2.634,
4690.7,29.878,1.2125870781238937,2.643,0.047,Hugin Fm. VOLVE Top,29.878,1.2125870781238937,2.643,
4690.8,29.123,1.2008231487109302,2.655,0.05,Hugin Fm. VOLVE Top,,1.2008231487109302,2.655,
